file	line	count	function
include/rift/discrete_state.hpp	2701	0	std::shared_ptr<rift::detail::FieldGroupSpaceData<3> const> rift::detail::build_field_space<3>(std::shared_ptr<rift::MeshSnapshot<3> const> const&, rift::SpaceProvenance const&, rift::StrongId<rift::detail::FieldGroupIdTag, unsigned int>, std::optional<rift::PhaseReference> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>&&, unsigned int, unsigned int, std::shared_ptr<rift::PhaseSupport const> const&, bool)
include/rift/discrete_state.hpp	2745	0	std::shared_ptr<rift::detail::FieldGroupSpaceData<3> const> rift::detail::build_field_space<3>(std::shared_ptr<rift::MeshSnapshot<3> const> const&, rift::SpaceProvenance const&, rift::StrongId<rift::detail::FieldGroupIdTag, unsigned int>, std::optional<rift::PhaseReference> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>&&, unsigned int, unsigned int, std::shared_ptr<rift::PhaseSupport const> const&, bool)::'lambda'()::operator()() const
include/rift/discrete_state.hpp	2809	0	rift::detail::SpaceRegistryAccess<3>::begin_draft(rift::SpaceRegistry<3> const&, rift::PhaseGraph const&, rift::SpaceSpecification, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>>, std::expected<rift::StrongId<rift::detail::SpaceEpochTag, unsigned long>, rift::SpaceBuildError>, std::optional<unsigned int>, void (*)())
include/rift/discrete_state.hpp	2840	0	rift::detail::SpaceRegistryAccess<2>::with_provenance(rift::SpaceDraft<2>, rift::SpaceProvenance)
include/rift/discrete_state.hpp	2840	0	rift::detail::SpaceRegistryAccess<3>::with_provenance(rift::SpaceDraft<3>, rift::SpaceProvenance)
include/rift/discrete_state.hpp	2850	0	rift::FieldGroupSpace<3>::phase() const
include/rift/discrete_state.hpp	2851	0	rift::FieldGroupSpace<3>::id() const
include/rift/discrete_state.hpp	2852	0	rift::FieldGroupSpace<3>::name() const
include/rift/discrete_state.hpp	2853	0	rift::FieldGroupSpace<2>::components() const
include/rift/discrete_state.hpp	2853	0	rift::FieldGroupSpace<3>::components() const
include/rift/discrete_state.hpp	2858	0	rift::FieldGroupSpace<3>::support() const
include/rift/discrete_state.hpp	2859	0	rift::FieldGroupSpace<2>::provenance() const
include/rift/discrete_state.hpp	2859	0	rift::FieldGroupSpace<3>::provenance() const
include/rift/discrete_state.hpp	2861	0	rift::FieldGroupSpace<3>::dof_handler() const
include/rift/discrete_state.hpp	2865	0	rift::FieldGroupSpace<3>::constraints() const
include/rift/discrete_state.hpp	2870	0	rift::LevelSetFieldSpace<3>::id() const
include/rift/discrete_state.hpp	2871	0	rift::LevelSetFieldSpace<2>::provenance() const
include/rift/discrete_state.hpp	2871	0	rift::LevelSetFieldSpace<3>::provenance() const
include/rift/discrete_state.hpp	2872	0	rift::LevelSetFieldSpace<3>::name() const
include/rift/discrete_state.hpp	2873	0	rift::LevelSetFieldSpace<3>::components() const
include/rift/discrete_state.hpp	2879	0	rift::LevelSetFieldSpace<3>::dof_handler() const
include/rift/discrete_state.hpp	2888	0	rift::SpaceDraft<2>::epoch() const
include/rift/discrete_state.hpp	2888	0	rift::SpaceDraft<3>::epoch() const
include/rift/discrete_state.hpp	2889	0	rift::SpaceDraft<3>::active() const
include/rift/discrete_state.hpp	2890	0	rift::SpaceDraft<3>::provenance() const
include/rift/discrete_state.hpp	2891	0	rift::SpaceDraft<3>::field_spaces() const
include/rift/discrete_state.hpp	2895	0	rift::SpaceDraft<3>::level_set_space() const
include/rift/discrete_state.hpp	2900	0	rift::SpaceSnapshot<3>::epoch() const
include/rift/discrete_state.hpp	2901	0	rift::SpaceSnapshot<3>::provenance() const
include/rift/discrete_state.hpp	2902	0	rift::SpaceSnapshot<3>::field_spaces() const
include/rift/discrete_state.hpp	2906	0	rift::SpaceSnapshot<3>::level_set_space() const
include/rift/discrete_state.hpp	2911	0	rift::SpaceSnapshot<3>::find_field(rift::PhaseReference, std::basic_string_view<char, std::char_traits<char>>) const
include/rift/discrete_state.hpp	2924	0	rift::SpaceSnapshot<3>::field_space(rift::PhaseReference, rift::StrongId<rift::detail::FieldGroupIdTag, unsigned int>) const
include/rift/discrete_state.hpp	2933	0	rift::SpaceSnapshot<3>::layout() const
include/rift/discrete_state.hpp	2936	0	rift::SpaceRegistry<3>::SpaceRegistry(std::shared_ptr<rift::MeshSnapshot<3> const>)
include/rift/discrete_state.hpp	2944	0	rift::SpaceRegistry<3>::validate_field_schema(rift::PhaseGraph const&, rift::SpaceSpecification const&, std::map<unsigned int, rift::PhaseReference, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, rift::PhaseReference>>>&, std::vector<rift::SpaceBuildError, std::allocator<rift::SpaceBuildError>>&, std::shared_ptr<rift::detail::RunConfigurationControl const> const&, int) const
include/rift/discrete_state.hpp	2955	0	auto rift::SpaceRegistry<3>::validate_field_schema(rift::PhaseGraph const&, rift::SpaceSpecification const&, std::map<unsigned int, rift::PhaseReference, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, rift::PhaseReference>>>&, std::vector<rift::SpaceBuildError, std::allocator<rift::SpaceBuildError>>&, std::shared_ptr<rift::detail::RunConfigurationControl const> const&, int) const::'lambda'(auto const&)::operator()<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>(auto const&) const
include/rift/discrete_state.hpp	3008	0	rift::SpaceRegistry<3>::validate_support_record(rift::PhaseGraph const&, rift::PhaseSupportSpecification const&, std::map<unsigned int, rift::PhaseReference, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, rift::PhaseReference>>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::vector<rift::SpaceBuildError, std::allocator<rift::SpaceBuildError>>&) const
include/rift/discrete_state.hpp	3055	0	rift::SpaceRegistry<3>::validate_support_schema(rift::PhaseGraph const&, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>> const&, std::map<unsigned int, rift::PhaseReference, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, rift::PhaseReference>>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::vector<rift::SpaceBuildError, std::allocator<rift::SpaceBuildError>>&) const
include/rift/discrete_state.hpp	3083	0	rift::SpaceRegistry<3>::close_phase_support(rift::PhaseReference const&, rift::PhaseSupportSpecification const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::optional<unsigned int>, std::shared_ptr<rift::detail::RunConfigurationControl const> const&, int) const
include/rift/discrete_state.hpp	3126	0	rift::SpaceRegistry<3>::close_phase_supports(std::map<unsigned int, rift::PhaseReference, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, rift::PhaseReference>>> const&, std::map<unsigned int, std::vector<rift::PhaseSupportSpecification const*, std::allocator<rift::PhaseSupportSpecification const*>>, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, std::vector<rift::PhaseSupportSpecification const*, std::allocator<rift::PhaseSupportSpecification const*>>>>> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&, std::optional<unsigned int>, std::shared_ptr<rift::detail::RunConfigurationControl const> const&, int) const
include/rift/discrete_state.hpp	3150	0	rift::SpaceRegistry<3>::assemble_draft(rift::SpaceSpecification, rift::SpaceProvenance, std::map<unsigned int, std::shared_ptr<rift::PhaseSupport const>, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, std::shared_ptr<rift::PhaseSupport const>>>> const&) const
include/rift/discrete_state.hpp	3153	0	auto rift::SpaceRegistry<2>::assemble_draft(rift::SpaceSpecification, rift::SpaceProvenance, std::map<unsigned int, std::shared_ptr<rift::PhaseSupport const>, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, std::shared_ptr<rift::PhaseSupport const>>>> const&) const::'lambda'(auto const&, auto const&)::operator()<rift::PhaseFieldGroupSpecification, rift::PhaseFieldGroupSpecification>(auto const&, auto const&) const
